I | わたし (私)
Cut / Slice | きります (切る)
Send | おくります (送る)
Give | あげます
Receive | もらいます
Lend | かします (貸す)
Borrow | かります (借りる)
Teach | おしえます (教える)
Learn | ならいます (習う)
Make (a phone call) | かけます
Hand | て (手)
Chopsticks | はし
Spoon | スプーン
Knife | ナイフ
Fork | フォーク
Scissors | はさみ
PC / Personal computer | パソコン
Cell phone | けいたいでんわ (携帯電話)
E-mail | メール
New Year's card | ねんがじょう (年賀状)
Punch | パンチ
Stapler | ホッチキス
Scotch tape | セロテープ
Eraser | けしごむ (消しゴム)
Paper | かみ (紙)
Flower | はな (花)
Baggage / Parcel | にもつ (荷物)
Money | おかね (お金)
Present / Gift | プレゼント
Ticket | きっぷ (切符)
Christmas | クリスマス
Father (my) | ちち (父)
Mother (my) | はは (母)
Father (someone else's) | おとうさん (お父さん)
Mother (someone else's) | おかあさん (お母さん)
Already | もう
Not yet | まだ
From now on | これから
Handsome | ハンサム[な]
Quiet | しずか[な] (静か)
Lively | にぎやか[な]
Famous | ゆうめい[な] (有名)
Kind / Helpful | しんせつ[な] (親切)
Healthy / Energetic | げんき[な] (元気)
Free (time) | ひま[な] (暇)
Convenient | べんり[な] (便利)
Fine / Splendid | すてき[な]
Big | おおきい (大きい)
Small | ちいさい (小さい)
New | あたらしい (新しい)
Old (not for people) | ふるい (古い)
Good | いい (よい)
Bad | わるい (悪い)
Hot (weather/touch) | あつい (暑い / 熱い)
Cold (weather) | さむい (寒い)
Cold (touch) | つめたい (冷たい)
Difficult | むずかしい (難しい)
Easy | やさしい (易しい)
Expensive / Tall / High | たかい (高い)
Inexpensive / Cheap | やすい (安い)
Interesting | おもしろい (面白い)
Delicious | おいしい
Busy | いそがしい (忙しい)
Enjoyable | たのしい (楽しい)
White | しろい (白い)
Black | くろい (黒い)
Red | あかい (赤い)
Blue | あおい (青い)
Sakura (Cherry blossom) | さくら (桜)
Mountain | やま (山)
Town / City | まち (町)
Food | たべもの (食べ物)
Place | ところ (所)
Dormitory | りょう (寮)
Life | せいかつ (生活)
Work / Business | おしごと (お仕事)
How | どう
What kind of ~ | どんな
Which one (among three or more) | どれ
Very | とても
Not so (used with negative) | あまり
And (used to connect sentences) | そして
~, but ~ | ～が、～
How are you? | おげんきですか
Let's see... | そうですね
1 (One) | いち (一)
2 (Two) | に (二)
3 (Three) | さん (三)
4 (Four) | よん / し (四)
5 (Five) | ご (五)
6 (Six) | ろく (六)
7 (Seven) | なな / しち (七)
8 (Eight) | はち (八)
9 (Nine) | きゅう / く (九)
10 (Ten) | じゅう (十)
100 (One hundred) | ひゃく (百)
1,000 (One thousand) | せん (千)
10,000 (Ten thousand) | まん (万)
Sunday | にちようび (日曜日)
Monday | げつようび (月曜日)
Tuesday | かようび (火曜日)
Wednesday | すいようび (水曜日)
Thursday | もくようび (木曜日)
Friday | きんようび (金曜日)
Saturday | どようび (土曜日)
January | いちがつ (一月)
February | にがつ (二月)
March | さんがつ (三月)
April | しがつ (四月)
May | ごがつ (五月)
June | ろくがつ (六月)
July | しちがつ (七月)
August | はちがつ (八月)
September | くがつ (九月)
October | じゅうがつ (十月)
November | じゅういちがつ (十一月)
December | じゅうにがつ (十二月)
1st Floor | いっかい (一階)
2nd Floor | にかい (二階)
3rd Floor | さんがい (三階)
4th Floor | よんかい (四階)
5th Floor | ごかい (五階)
6th Floor | ろっかい (六階)
7th Floor | ななかい (七階)
8th Floor | はっかい (八階)
9th Floor | きゅうかい (九階)
10th Floor | じゅっかい (十階)
